"","X","club_name","city","wikipedia_url","location","gruendung","plaetze","mitglieder","plaetze_clean","mitglieder_clean","gruendung_clean","gruendung_day","gruendung_month","gruendung_year","gruendung_date_str","gruendung_date","club_age","WKR_NR","LAND_NR","LAND_NAME","WKR_NAME","wahlkreis_name","valid_votes","vote_cdu_2017","vote_csu_2017","vote_spd_2017","vote_linke_2017","vote_afd_2017","perc_cdu_2017","perc_spd_2017","perc_linke_2017","perc_afd_2017","OBJID","BEGINN","GF","NUTS_LEVEL","NUTS_CODE","NUTS_NAME","unemployment_rate","gdp_per_capita","geometry"
"31",31,"FC St. Pauli","Hamburg","https://de.wikipedia.org/wiki/FC%20St.%20Pauli","FC St. Pauli , Hamburg","15. Mai 1910 (St. Pauli TV)","29.546","52.357 (Stand: 1. Juli 2025)[1]",29546,52357,"15. Mai 1910","15","05","1910","1910-05-15",1910-05-15,108,18,"02","Hamburg","Hamburg-Mitte","Hamburg-Mitte",113020,24256,0,28001,18320,10075,21.4616881967793,24.7752610157494,16.2095204388604,8.91435144222262,"DEBKGNU5000000BK",2021-10-04,9,2,"DE60","Hamburg",5.475,64000,c(564195.893487912, 5934410.22116656)
"32",32,"FC Viktoria Köln","Köln","https://de.wikipedia.org/wiki/Viktoria%20K%C3%B6ln","FC Viktoria Köln , Köln","22. Juni 2010","8.343[2]","623 (1. Juli 2019)[1]",8343,623,"22. Juni 2010","22","06","2010","2010-06-22",2010-06-22,8,93,"05","Nordrhein-Westfalen","Köln I","Köln I",84217,19975,0,20928,10375,8532,23.7184891411473,24.8500896493582,12.3193654487811,10.1309711815904,"DEBKGNU5000000BU",2021-10-04,9,2,"DEA2","Köln",4.425,41700,c(361470.17007987, 5640859.07110338)
"33",33,"FSV Frankfurt","Frankfurt","https://de.wikipedia.org/wiki/FSV%20Frankfurt","FSV Frankfurt , Frankfurt","20. August 1899","12.542","2.461 (1. Juli 2015)[1]",12542,2461,"20. August 1899","20","08","1899","1899-08-20",1899-08-20,119,183,"06","Hessen","Frankfurt am Main II","Frankfurt am Main II",117968,29741,0,24354,15064,10242,25.2110741896107,20.6445815814458,12.7695646276956,8.68201546182016,"DEBKGNU5000000BL",2021-10-04,9,2,"DE71","Darmstadt",4.45,50700,c(480214.412164021, 5552902.6143229)
"34",34,"FSV Zwickau","Zwickau","https://de.wikipedia.org/wiki/FSV%20Zwickau","FSV Zwickau , Zwickau","1912/1990","10.134","2.883 (Stand: 1. Juli 2025)[1]",10134,2883,"1912/1990","19","01","1912","1912-01-19",1912-01-19,106,165,"14","Sachsen","Zwickau","Zwickau",120790,35600,0,13073,19654,33359,29.472638463449,10.8229158042884,16.271214504512,27.6173524298369,"DEBKGNU5000000C3",2021-10-04,9,2,"DED4","Chemnitz",7.7,27800,c(748301.888930499, 5625545.2220191)
"35",35,"Fortuna 95 Düsseldorf","Düsseldorf","https://de.wikipedia.org/wiki/Fortuna%20D%C3%BCsseldorf","Fortuna 95 Düsseldorf , Düsseldorf","5. Mai 1895","54.600","36.000 (Stand: 1. Juli 2025)[1]",54600,36000,"5. Mai 1895","5","05","1895","1895-05-5",1895-05-05,123,106,"05","Nordrhein-Westfalen","Düsseldorf I","Düsseldorf I",112646,33314,0,23299,10818,8881,29.5740638815404,20.6833797915594,9.60353674342631,7.88399055448041,"DEBKGNU5000000BT",2021-10-04,9,2,"DEA1","Düsseldorf",5.175,40400,c(348378.716238813, 5677141.74345563)
"36",36,"Fortuna Köln","Köln","https://de.wikipedia.org/wiki/SC%20Fortuna%20K%C3%B6ln","Fortuna Köln , Köln","21. Februar 1948","11.748[2]","1200 (1. Juli 2017)[1]",11748,1200,"21. Februar 1948","21","02","1948","1948-02-21",1948-02-21,70,94,"05","Nordrhein-Westfalen","Köln II","Köln II",110238,27942,0,22473,13526,6212,25.3469765416644,20.3858923420236,12.2698162158239,5.63508046227254,"DEBKGNU5000000BU",2021-10-04,9,2,"DEA2","Köln",4.425,41700,c(355298.567973024, 5641941.76596732)
"37",37,"Hallescher FC","Halle","https://de.wikipedia.org/wiki/Hallescher%20FC","Hallescher FC , Halle","26. Januar 1966","15.057","3.374 (Stand: 2. Juni 2025)[1]",15057,3374,"26. Januar 1966","26","01","1966","1966-01-26",1966-01-26,52,72,"15","Sachsen-Anhalt","Halle","Halle",115351,29753,0,16126,21635,22834,25.7934478244662,13.9799394890378,18.7557975223448,19.7952336780782,"DEBKGNU5000000C5",2021-10-04,9,2,"DEE0","Sachsen-Anhalt",9.1,27300,c(705741.661239316, 5705749.04333726)
"38",38,"Hamburger SV","Hamburg","https://de.wikipedia.org/wiki/Hamburger%20SV","Hamburger SV , Hamburg","29. September 1887 (SC Germania von 1887)2. Juni 1919 (Zusammenschluss)","57.000","126.995 (Stand: 21. Juni 2025)[1]",57000,126995,"29. September 1887","29","09","1887","1887-09-29",1887-09-29,131,18,"02","Hamburg","Hamburg-Mitte","Hamburg-Mitte",113020,24256,0,28001,18320,10075,21.4616881967793,24.7752610157494,16.2095204388604,8.91435144222262,"DEBKGNU5000000BK",2021-10-04,9,2,"DE60","Hamburg",5.475,64000,c(566296.251301015, 5933959.96470834)
"39",39,"Hannover 96","Hannover","https://de.wikipedia.org/wiki/Hannover%2096","Hannover 96 , Hannover","12. April 1896","49.000","23.000 (Stand: 1. Oktober 2024)",49000,23000,"12. April 1896","12","04","1896","1896-04-12",1896-04-12,122,41,"03","Niedersachsen","Stadt Hannover I","Stadt Hannover I",99899,25604,0,28084,9954,10086,25.6298861850469,28.1123935174526,9.96406370434138,10.0961971591307,"DEBKGNU5000000BQ",2021-10-04,9,2,"DE92","Hannover",5.475,37400,c(552601.574940548, 5803211.38344765)
"40",40,"Hertha BSC","Berlin","https://de.wikipedia.org/wiki/Hertha%20BSC","Hertha BSC , Berlin","25. Juli 1892","74.475","59.217 (Stand: 25. Mai 2025)[1]",74475,59217,"25. Juli 1892","25","07","1892","1892-07-25",1892-07-25,126,75,"11","Berlin","Berlin-Mitte","Berlin-Mitte",98753,17095,0,18354,22109,9001,17.3108665053214,18.5857644831043,22.3881806122346,9.11465980780331,"DEBKGNU5000000BH",2021-10-04,9,2,"DE30","Berlin",9.45,39300,c(797247.211289146, 5826818.05044834)
